97, %E5%8C%85%E5%A4%B4, BTC, baotou, bt, bto
98, %E5%8C%97%E5%B1%AF%E5%B8%82, BXR, beitunshi, bts, bts
99, %E6%9C%AC%E6%BA%AA, BXT, benxi, bx, bxi
100, %E7%99%BD%E4%BA%91%E9%84%82%E5%8D%9A, BEC, baiyunebo, byeb, byb
101, %E7%99%BD%E9%93%B6%E8%A5%BF, BXJ, baiyinxi, byx, byx
102, %E4%BA%B3%E5%B7%9E, BZH, bozhou, bz, bzh
103, %E8%B5%A4%E5%A3%81, CBN, chibi, cb, cbi
104, %E5%B8%B8%E5%BE%B7, VGQ, changde, cd, cde
105, %E6%89%BF%E5%BE%B7, CDP, chengde, cd, cde
106, %E9%95%BF%E7%94%B8, CDT, changdian, cd, cdi
107, %E8%B5%A4%E5%B3%B0, CFD, chifeng, cf, cfe
108, %E8%8C%B6%E9%99%B5, CDG, chaling, cl, cli
109, %E8%8B%8D%E5%8D%97, CEH, cangnan, cn, cna
110, %E6%98%8C%E5%B9%B3, CPP, changping, cp, cpi
111, %E5%B4%87%E4%BB%81, CRG, chongren, cr, cre
112, %E6%98%8C%E5%9B%BE, CTT, changtu, ct, ctu
113, %E9%95%BF%E6%B1%80%E9%95%87, CDB, changtingzhen, ctz, ctz
114, %E6%9B%B9%E5%8E%BF, CXK, caoxian, cx, cxi
115, %E6%A5%9A%E9%9B%84, COM, chuxiong, cx, cxi
116, %E9%99%88%E7%9B%B8%E5%B1%AF, CXT, chenxiangtun, cxt, cxt
117, %E9%95%BF%E6%B2%BB%E5%8C%97, CBF, changzhibei, czb, czb
118, %E6%B1%A0%E5%B7%9E, IYH, chizhou, cz, czh
119, %E9%95%BF%E5%BE%81, CZJ, changzheng, cz, czh
120, %E5%B8%B8%E5%B7%9E, CZH, changzhou, cz, czh
121, %E9%83%B4%E5%B7%9E, CZQ, chenzhou, cz, czh
122, %E9%95%BF%E6%B2%BB, CZF, changzhi, cz, czh
123, %E6%B2%A7%E5%B7%9E, COP, cangzhou, cz, czh
124, %E5%B4%87%E5%B7%A6, CZZ, chongzuo, cz, czu
125, %E5%A4%A7%E5%AE%89%E5%8C%97, RNT, daanbei, dab, dab
126, %E5%A4%A7%E6%88%90, DCT, dacheng, dc, dch
